iter	Passed	Remaining
1181	5484	3795
1182	5489	3791
1183	5494	3786
1184	5499	3782
1185	5504	3777
1186	5509	3773
1187	5514	3769
1188	5519	3764
1189	5523	3760
1190	5528	3755
1191	5533	3750
1192	5538	3746
1193	5543	3741
1194	5547	3737
1195	5552	3732
1196	5556	3727
1197	5561	3723
1198	5567	3719
1199	5572	3714
1200	5576	3710
1201	5581	3705
1202	5586	3701
1203	5591	3696
1204	5595	3691
1205	5601	3687
1206	5605	3682
1207	5610	3678
1208	5615	3674
1209	5621	3670
1210	5627	3666
1211	5631	3661
1212	5637	3657
1213	5641	3652
1214	5646	3647
1215	5651	3644
1216	5656	3639
1217	5661	3634
1218	5666	3630
1219	5670	3625
1220	5675	3620
1221	5680	3616
1222	5685	3612
1223	5689	3607
1224	5694	3602
1225	5699	3598
1226	5704	3593
1227	5708	3589
1228	5713	3584
1229	5718	3579
1230	5722	3575
1231	5727	3570
1232	5731	3565
1233	5736	3560
1234	5741	3556
1235	5745	3551
1236	5750	3546
1237	5754	3542
1238	5759	3537
1239	5764	3532
1240	5768	3527
1241	5772	3523
1242	5776	3518
1243	5781	3513
1244	5786	3509
1245	5790	3504
1246	5795	3499
1247	5800	3495
1248	5804	3490
1249	5809	3485
1250	5814	3481
1251	5818	3476
1252	5823	3471
1253	5829	3467
1254	5833	3463
1255	5838	3458
1256	5842	3453
1257	5847	3449
1258	5852	3444
1259	5856	3439
1260	5861	3435
1261	5866	3430
1262	5870	3425
1263	5875	3421
1264	5879	3416
1265	5883	3411
1266	5888	3406
1267	5893	3402
1268	5897	3397
1269	5902	3392
1270	5906	3387
1271	5911	3383
1272	5915	3378
1273	5919	3373
1274	5923	3368
1275	5928	3363
1276	5933	3359
1277	5937	3354
1278	5943	3350
1279	5947	3345
1280	5952	3340
1281	5957	3336
1282	5961	3331
1283	5966	3326
1284	5970	3322
1285	5975	3317
1286	5979	3312
1287	5984	3308
1288	5989	3303
1289	5994	3299
1290	5998	3294
1291	6002	3289
1292	6007	3284
1293	6011	3279
1294	6015	3274
1295	6019	3269
1296	6024	3265
1297	6029	3260
1298	6033	3255
1299	6038	3251
1300	6043	3246
1301	6047	3241
1302	6051	3237
1303	6056	3232
1304	6060	3227
1305	6065	3222
1306	6070	3218
1307	6074	3213
1308	6078	3208
1309	6083	3204
1310	6088	3199
1311	6092	3194
1312	6096	3190
1313	6102	3185
1314	6106	3181
1315	6110	3176
1316	6114	3171
1317	6120	3166
1318	6124	3162
1319	6129	3157
1320	6134	3152
1321	6138	3148
1322	6142	3143
1323	6146	3138
1324	6152	3134
1325	6156	3129
1326	6161	3124
1327	6165	3119
1328	6169	3115
1329	6174	3110
1330	6179	3105
1331	6184	3101
1332	6188	3096
1333	6193	3091
1334	6197	3087
1335	6203	3083
1336	6208	3078
1337	6212	3073
1338	6217	3069
1339	6222	3064
1340	6226	3060
1341	6232	3055
1342	6236	3050
1343	6241	3046
1344	6246	3041
1345	6250	3037
1346	6254	3032
1347	6259	3027
1348	6264	3023
1349	6269	3018
1350	6273	3013
1351	6278	3009
1352	6283	3004
1353	6287	2999
1354	6292	2995
1355	6297	2990
1356	6301	2985
1357	6306	2981
1358	6311	2976
1359	6315	2972
1360	6320	2967
1361	6325	2963
1362	6331	2958
1363	6335	2954
1364	6340	2949
1365	6345	2945
1366	6349	2940
1367	6354	2935
1368	6359	2931
1369	6364	2926
1370	6368	2921
1371	6374	2917
1372	6379	2913
1373	6383	2908
1374	6388	2903
1375	6393	2899
1376	6398	2894
1377	6402	2889
1378	6407	2885
1379	6412	2880
1380	6416	2876
1381	6422	2871
1382	6428	2867
1383	6432	2863
1384	6437	2858
1385	6443	2854
1386	6448	2849
1387	6452	2845
1388	6458	2840
1389	6462	2836
1390	6467	2831
1391	6473	2827
1392	6478	2823
1393	6484	2818
1394	6490	2814
1395	6496	2810
1396	6501	2806
1397	6507	2802
1398	6512	2797
1399	6517	2793
1400	6522	2788
1401	6526	2783
1402	6531	2779
1403	6535	2774
1404	6540	2769
1405	6545	2765
1406	6549	2760
1407	6555	2756
1408	6559	2751
1409	6564	2746
1410	6569	2742
1411	6573	2737
1412	6578	2732
1413	6582	2727
1414	6587	2723
1415	6591	2718
1416	6596	2713
1417	6601	2709
1418	6605	2704
1419	6610	2699
1420	6614	2695
1421	6619	2690
1422	6624	2686
1423	6628	2681
1424	6633	2676
1425	6637	2671
1426	6642	2667
1427	6646	2662
1428	6651	2657
1429	6656	2653
1430	6660	2648
1431	6665	2643
1432	6670	2639
1433	6674	2634
1434	6679	2629
1435	6684	2625
1436	6688	2620
1437	6693	2615
1438	6697	2611
1439	6702	2606
1440	6706	2601
1441	6710	2596
1442	6716	2592
1443	6720	2587
1444	6724	2582
1445	6729	2578
1446	6733	2573
1447	6738	2568
1448	6742	2563
1449	6747	2559
1450	6751	2554
1451	6756	2549
1452	6760	2545
1453	6764	2540
1454	6769	2535
1455	6773	2530
1456	6778	2526
1457	6782	2521
1458	6786	2516
1459	6792	2512
1460	6797	2507
1461	6801	2503
1462	6806	2498
1463	6811	2493
1464	6815	2488
1465	6819	2484
1466	6824	2479
1467	6829	2474
1468	6833	2470
1469	6837	2465
1470	6842	2460
1471	6847	2456
1472	6851	2451
1473	6856	2446
1474	6860	2442
1475	6865	2437
1476	6869	2432
1477	6873	2427
1478	6877	2422
1479	6882	2418
1480	6886	2413
1481	6890	2408
1482	6895	2403
1483	6899	2399
1484	6903	2394
1485	6908	2389
1486	6912	2384
1487	6917	2380
1488	6921	2375
1489	6926	2370
1490	6931	2366
1491	6935	2361
1492	6941	2357
1493	6945	2352
1494	6949	2347
1495	6954	2342
1496	6959	2338
1497	6963	2333
1498	6967	2328
1499	6972	2324
1500	6977	2319
1501	6981	2314
1502	6985	2310
1503	6990	2305
1504	6995	2300
1505	6999	2295
1506	7004	2291
1507	7008	2286
1508	7013	2281
1509	7017	2277
1510	7022	2272
1511	7027	2268
1512	7032	2263
1513	7037	2259
1514	7041	2254
1515	7046	2249
1516	7051	2244
1517	7055	2240
1518	7060	2235
1519	7064	2230
1520	7069	2226
1521	7073	2221
1522	7077	2216
1523	7082	2211
1524	7087	2207
1525	7091	2202
1526	7096	2198
1527	7101	2193
1528	7105	2188
1529	7109	2184
1530	7114	2179
1531	7119	2174
1532	7123	2170
1533	7128	2165
1534	7133	2160
1535	7137	2156
1536	7141	2151
1537	7146	2146
1538	7151	2142
1539	7155	2137
1540	7159	2132
1541	7164	2128
1542	7169	2123
1543	7173	2118
1544	7177	2113
1545	7182	2109
1546	7187	2104
1547	7191	2099
1548	7196	2095
1549	7201	2090
1550	7205	2085
1551	7210	2081
1552	7215	2076
1553	7219	2072
1554	7223	2067
1555	7228	2062
1556	7233	2058
1557	7237	2053
1558	7242	2048
1559	7247	2044
1560	7252	2039
1561	7256	2034
1562	7261	2030
1563	7266	2025
1564	7270	2020
1565	7275	2016
1566	7281	2012
1567	7285	2007
1568	7289	2002
1569	7295	1997
1570	7299	1993
1571	7304	1988
1572	7308	1984
1573	7313	1979
1574	7318	1974
1575	7322	1970
1576	7328	1965
1577	7332	1960
1578	7337	1956
1579	7342	1951
1580	7347	1947
1581	7351	1942
1582	7355	1937
1583	7361	1933
1584	7365	1928
1585	7369	1923
1586	7374	1919
1587	7379	1914
1588	7382	1909
1589	7387	1904
1590	7392	1900
1591	7397	1895
1592	7402	1891
1593	7408	1886
1594	7413	1882
1595	7418	1877
1596	7424	1873
1597	7429	1868
1598	7434	1864
1599	7439	1859
1600	7444	1855
1601	7448	1850
1602	7453	1845
1603	7458	1841
1604	7463	1836
1605	7467	1832
1606	7473	1827
1607	7477	1822
1608	7482	1818
1609	7486	1813
1610	7492	1809
1611	7496	1804
1612	7501	1799
1613	7506	1795
1614	7511	1790
1615	7515	1785
1616	7521	1781
1617	7525	1776
1618	7530	1772
1619	7534	1767
1620	7539	1762
1621	7544	1758
1622	7549	1753
1623	7555	1749
1624	7559	1744
1625	7564	1739
1626	7570	1735
1627	7574	1730
1628	7579	1726
1629	7583	1721
1630	7588	1716
1631	7592	1712
1632	7597	1707
1633	7603	1703
1634	7607	1698
1635	7612	1693
1636	7616	1689
1637	7621	1684
1638	7625	1679
1639	7630	1675
1640	7636	1670
1641	7640	1665
1642	7645	1661
1643	7650	1656
1644	7654	1651
1645	7658	1647
1646	7663	1642
1647	7668	1637
1648	7672	1633
1649	7677	1628
1650	7683	1624
