iter	Passed	Remaining
1284	79576	43968
1285	79616	43894
1286	79679	43832
1287	79765	43784
1288	79828	43722
1289	79905	43669
1290	79980	43614
1291	80058	43561
1292	80133	43506
1293	80200	43446
1294	80279	43394
1295	80355	43339
1296	80433	43286
1297	80475	43213
1298	80553	43160
1299	80621	43101
1300	80700	43048
1301	80777	42994
1302	80851	42939
1303	80925	42883
1304	80995	42824
1305	81064	42766
1306	81120	42701
1307	81191	42644
1308	81267	42589
1309	81336	42531
1310	81403	42471
1311	81474	42414
1312	81556	42362
1313	81624	42302
1314	81698	42247
1315	81770	42190
1316	81835	42129
1317	81903	42070
1318	81963	42006
1319	82035	41949
1320	82102	41890
1321	82176	41833
1322	82233	41769
1323	82306	41712
1324	82381	41657
1325	82439	41592
1326	82511	41535
1327	82553	41463
1328	82628	41407
1329	82669	41334
1330	82741	41277
1331	82775	41201
1332	82839	41140
1333	82899	41076
1334	82984	41025
1335	83065	40973
1336	83128	40911
1337	83205	40856
1338	83274	40797
1339	83346	40740
1340	83411	40679
1341	83489	40624
1342	83573	40573
1343	83649	40517
1344	83729	40464
1345	83796	40404
1346	83863	40344
1347	83938	40288
1348	84012	40231
1349	84058	40161
1350	84129	40102
1351	84207	40048
1352	84276	39989
1353	84331	39923
1354	84397	39863
1355	84458	39799
1356	84526	39740
1357	84608	39687
1358	84688	39633
1359	84753	39572
1360	84829	39516
1361	84904	39459
1362	84978	39402
1363	85043	39342
1364	85119	39285
1365	85167	39216
1366	85247	39162
1367	85309	39100
1368	85356	39030
1369	85431	38974
1370	85487	38909
1371	85547	38845
1372	85603	38780
1373	85662	38716
1374	85733	38657
1375	85796	38595
1376	85872	38539
1377	85939	38479
1378	86016	38423
1379	86085	38364
1380	86170	38312
1381	86207	38238
1382	86284	38182
1383	86323	38109
1384	86403	38054
1385	86483	38000
1386	86549	37939
1387	86603	37873
1388	86678	37816
1389	86744	37755
1390	86797	37689
1391	86880	37635
1392	86954	37578
1393	87034	37523
1394	87108	37466
1395	87166	37401
1396	87249	37348
1397	87320	37289
1398	87400	37234
1399	87473	37176
1400	87546	37118
1401	87633	37066
1402	87718	37013
1403	87802	36959
1404	87869	36899
1405	87945	36841
1406	88011	36781
1407	88066	36715
1408	88140	36657
1409	88213	36599
1410	88284	36540
1411	88360	36483
1412	88435	36425
1413	88510	36367
1414	88565	36302
1415	88638	36243
1416	88703	36182
1417	88757	36116
1418	88822	36054
1419	88884	35991
1420	88975	35940
1421	89053	35884
1422	89125	35825
1423	89204	35769
1424	89259	35703
1425	89315	35638
1426	89389	35580
1427	89455	35519
1428	89531	35461
1429	89574	35391
1430	89641	35330
1431	89702	35267
1432	89747	35197
1433	89818	35138
1434	89883	35076
1435	89954	35016
1436	90016	34954
1437	90085	34893
1438	90133	34825
1439	90218	34771
1440	90279	34708
1441	90357	34651
1442	90431	34593
1443	90503	34534
1444	90576	34475
1445	90654	34418
1446	90716	34355
1447	90775	34291
1448	90831	34226
1449	90907	34168
1450	90962	34103
1451	91038	34045
1452	91112	33986
1453	91182	33927
1454	91241	33862
1455	91315	33804
1456	91392	33746
1457	91460	33686
1458	91522	33623
1459	91590	33562
1460	91659	33501
1461	91736	33444
1462	91810	33385
1463	91872	33322
1464	91923	33255
1465	92001	33198
1466	92065	33136
1467	92127	33073
1468	92202	33014
1469	92281	32957
1470	92354	32898
1471	92427	32839
1472	92507	32782
1473	92586	32725
1474	92666	32668
1475	92727	32605
1476	92776	32537
1477	92834	32473
1478	92899	32411
1479	92972	32351
1480	93066	32300
1481	93138	32240
1482	93213	32181
1483	93288	32122
1484	93360	32063
1485	93436	32004
1486	93516	31947
1487	93585	31886
1488	93632	31818
1489	93703	31758
1490	93770	31697
1491	93804	31624
1492	93869	31562
1493	93947	31504
1494	94026	31447
1495	94094	31385
1496	94153	31321
1497	94241	31266
1498	94321	31209
1499	94410	31155
1500	94486	31096
1501	94555	31035
1502	94622	30974
1503	94688	30912
1504	94731	30842
1505	94809	30784
1506	94884	30725
1507	94955	30665
1508	95039	30609
1509	95080	30539
1510	95110	30465
